iter	Passed	Remaining
0	1	177
1	2	142
2	4	129
3	4	116
4	5	112
5	6	109
6	8	108
7	9	107
8	10	105
9	11	103
10	13	111
11	15	111
12	16	109
13	17	107
14	18	104
15	19	102
16	21	103
17	22	102
18	23	100
19	24	98
20	25	97
21	27	97
22	28	96
23	29	94
24	31	93
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	38	85
31	39	84
32	41	83
33	42	81
34	43	80
35	44	79
36	45	77
37	46	76
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	52	67
44	53	65
45	55	64
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	50
57	68	49
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	76	42
64	77	41
65	78	40
66	79	39
67	81	38
68	82	37
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	106	14
88	108	13
89	109	12
90	110	10
91	112	9
92	113	8
93	115	7
94	116	6
95	118	4
96	119	3
97	120	2
98	121	1
99	123	0
